city	state	zip	tenant_name
Shreveport	LA	71104	In Style
Pembroke Pines	FL	33026	Jino The
Naples	FL	34108	Tcb Naples Llc
Brownsville	TX	78521	Sunrise Tortas
Idaho Falls	ID	83404	Michael Baird
Naples	FL	34108	Signatures
Roanoke	VA	24012	Tailgaters United Llc
Miami Beach	FL	33139	Tuccia Sandals
Portland	OR	97232	Fluid Systems Inc
Phoenix	AZ	85032	Outragious Olive Oils
Edison	NJ	8837	Fruit Passion
Fort Dodge	IA	50501	Stone Creek Landscaping
Mentor	OH	44060	Caravan Splendors Llc
Clifton Park	NY	12065	Smokeless Cigarettes
Leesburg	FL	34788	Akoo International Inc
Huntsville	AL	35801	Retro Fitt
Durham	NC	27701	JobLink Llc
Winter Park	FL	32789	Florida Blue
Carson	CA	90746	Metro Fusion
Bloomsburg	PA	17815	The Players Guild Llc
Milledgeville	GA	31061	"Hull Storey Retail Group, Llc"
Buena Park	CA	90620	Wedding Design Center
Bal Harbour	FL	33154	Tomas Maier
Short Hills	NJ	7078	Dior Short Hills
Greensburg	PA	15601	The Creative Art Store
Santa Maria	CA	93454	Semplici Italian Eatery
Aurora	CO	80012	Spyder Jump
Scottsdale	AZ	85251	House of Hoops
Saint Louis	MO	63117	Invisibleshield
Austin	TX	78738	Zeep
Chesterfield	MO	63017	The Neutral Zone
Roseville	MN	55113	JLL
Mesa	AZ	85202	CHINESE DIM SUM INC
Auburn	WA	98001	Alley Kat
Merritt Island	FL	32952	Clayz Arts
Wilmington	DE	19803	Relax Now
Pittsburgh	PA	15205	Get Inked
Harrisburg	PA	17109	2K Kases
Huntsville	AL	35806	New Square
College Station	TX	77840	Tiara
Lynchburg	VA	24502	Say It Inc
Grand Forks	ND	58201	Timeless Memories
Lithonia	GA	30038	Far East Herbs
Chesterfield	MO	63005	St. John
Papillion	NE	68046	Nebraska Brewing Company
Farmington	NM	87402	Turbo Graffix
West Valley	UT	84119	Nikki's Bridal
North Riverside	IL	60546	Kidco
Stroudsburg	PA	18360	What You Knead
Wayne	NJ	7470	Kodak Imaging Network
El Centro	CA	92243	Palomas Interiors
Medford	OR	97501	Caramel Corn
Virginia Beach	VA	23452	Roots
Pittsburgh	PA	15237	"Stickley, Audi & Co"
Chicago Ridge	IL	60415	Cobbler
Louisville	KY	40222	Ecotage
Charleston	SC	29407	All Natural
Meriden	CT	6451	Nextel Retail Store 2015
Houston	TX	77036	Glitter By Alex
Santa Fe	NM	87501	Mystic Tan
Greendale	WI	53129	Footaction Usa
Salt Lake City	UT	84111	Harmon's
Fayetteville	NC	28303	Halloween Alley
Waterloo	IA	50702	Corner Collectibles
Newburgh	NY	12550	Moon S. Lee MMA
Dallas	TX	75225	Tod's
Danbury	CT	6810	Knit Wits
Louisville	KY	40222	Sephora Usa
Everett	WA	98208	Vapor Eruption
Elyria	OH	44035	"Hindulak, Norm"
Alexandria	LA	71301	Sweet Scents N More
Yonkers	NY	10704	Clearwire
Sanford	FL	32771	John's Heel and Sew Llc
San Diego	CA	92122	Tender Greens
Harper Woods	MI	48225	Pageland Communications
Salisbury	NC	28147	Enmar Sunglasses
Woodlawn	MD	21244	Accelerated Tint & Parts Inc
Redmond	WA	98052	Evergreen State Mortgage
Austin	TX	78757	Red Oak Ballroom
Altamonte Springs	FL	32701	Dazzling Gold & Silver
San Angelo	TX	76904	Penney J C Co Inc No 1989
Bellingham	WA	98226	Red Fox
Rapid City	SD	57701	Hills of Grace Fellowship
Louisville	KY	40219	Louisville Store
San Antonio	TX	78247	C D Clark
Eugene	OR	97401	Loren Reimers Od P.C.
San Francisco	CA	94132	La Baguette
Dayton	OH	45459	Integritas
Saginaw	MI	48604	Media Replay
Buena Park	CA	90620	Cash For Gold Llc
Dallas	TX	75240	"Company Of Actors, The"
Bristol	VA	24201	Phyl's of Bristol
Santa Monica	CA	90401	Café Ugo
Boynton Beach	FL	33426	Bijou Brigitte
San Bruno	CA	94066	"Sorabal At Tan Foran, The"
Tarentum	PA	15084	Joan S Fine Art
Holyoke	MA	1040	A Aria Bridal & Formal In
San Bruno	CA	94066	S & L Gem Company
Salt Lake City	UT	84111	Rolex by O.C. Tanner
Sioux Falls	SD	57106	"Macerich Company, The"
Nampa	ID	83651	Easy Money
Horseheads	NY	14845	Braids And Style
Scottsdale	AZ	85251	AmeriPark Inc
Salina	KS	67401	"Warmack And Company, L.L.C."
Poughkeepsie	NY	12601	579 Shops
Tigard	OR	97223	Artistique Wow Browz
Appleton	WI	54913	"Millard Group, The"
Memphis	TN	38117	Sweetness Sweets
Wayne	NJ	7470	Dzurenda John Od
Grand Forks	ND	58201	Integrity Fundraisers Llc
Buffalo	NY	14219	Linda F Tice
Naples	FL	34108	Pikolino's
Great Falls	MT	59405	Holiday Casino
Pittsburg	CA	94565	Men's Suit Outlet
Gainesville	GA	30501	Brow Line
Portland	OR	97204	Park Ave Market Llc
Stockton	CA	95207	1st Impression
Orlando	FL	32819	Hot Glass
Rapid City	SD	57701	Solar X
Riverside	CA	92503	Ermc
Las Vegas	NV	89109	"Pliner, Donald J"
Green Bay	WI	54302	Regis Corporation
Clearwater	FL	33761	Too LLC
Tarentum	PA	15084	ITT Technical Institute
Gilbert	AZ	85296	Industrial Rideshop Llc
National City	CA	91950	Potato Corner
Tampa	FL	33607	FLY
San Francisco	CA	94115	So Real Factory
Middletown	NY	10941	D & L Marketing
Atlanta	GA	30345	Aubrey's Closet
Middletown	NY	10941	Smells So Good Inc
La Quinta	CA	92253	Sheri Dettman & Associates
Kingston	MA	2364	Pyramid Management Group
Indiana	PA	15701	Zamias Severices Inc
Mesa	AZ	85202	Speedy Airbrush
Richmond	VA	23230	Pigtails and Crewcuts
Danbury	CT	6810	Collectibles
Dover	DE	19901	"Gap, Inc., The"
Scottsdale	AZ	85251	Agency Arizona Llc
Tucson	AZ	85741	A.I. Company
Atlanta	GA	30363	Piedmont Physicians Group
Lubbock	TX	79414	Corndog Heaven
Elmhurst	NY	11373	Quick View
Fort Collins	CO	80525	Univ of Phoenix
Woodland Hills	CA	91367	Tarzana Chamber Of Commerce Woodland H…
White Plains	NY	10601	Ramee
Las Vegas	NV	89109	T Bands
Fayetteville	NC	28303	Dazzle Up
Marshalltown	IA	50158	Storia Bella
Burlington	NC	27215	Flying Dove Artisan's Studios & Retail…
North Bend	OR	97459	Oregon Martial Arts Acade
Sparks	NV	89431	Upper Deck
Fort Collins	CO	80525	"Elaine's Toffee Co., Incorporated"
Los Angeles	CA	90041	eCosway
Miami Beach	FL	33139	Bell & Ross Inc
Hickory	NC	28602	Omega Outfitters
Dallas	TX	75240	Bedford Print & Copy Center
Stockton	CA	95207	Safeway Gasoline
Meriden	CT	6451	Pietro's Tuxedo Specialists
Euclid	OH	44132	Reality Marketing Assoc
McLean	VA	22102	Piazza Di Giorgio
Blaine	MN	55434	Greetings
Columbus	OH	43232	Nu Source
Alameda	CA	94501	Studio Grow
Fargo	ND	58103	Hear Again
Moorestown	NJ	8057	Zeyzani
Dallas	TX	75237	A. Edwards
Buffalo	NY	14219	Beltone Hearing Aid Centers
Saint Clairsville	OH	43950	Osaka
Bradley	IL	60915	The Gap
Layton	UT	84041	Qwest Solutions Center
Saint Joseph	MO	64505	MetroPCS Authorized Dealer
Burbank	CA	91502	Make It Personal
Saint Charles	IL	60174	"Patel, Nilesh"
Auburn	AL	36830	Maurices Llc
Houston	TX	77070	Willowbrook Hospitality
West Nyack	NY	10994	Bento Nouveau
Tulsa	OK	74135	Fabu-Lash
North Little Rock	AR	72116	Magic Island
Manhasset	NY	11030	Donna Karen New York
Scottsdale	AZ	85251	Fired Pie
Lakewood	CO	80226	Belmar Family Medicine
Grapevine	TX	76051	Saltwater Willy's Inc
Las Vegas	NV	89109	Aria Men's
San Jose	CA	95122	Isis
Stockton	CA	95207	Revo
Lakewood	CO	80401	Race Fever
High Point	NC	27262	Hair Solutions
Portland	OR	97266	Classic Collection
Frederick	MD	21702	Lube Center Inc
Oviedo	FL	32765	Seyran LLC
Slidell	LA	70458	Bath and Body Works
Boulder	CO	80301	"Y&L Enterprises, Inc."
Santa Monica	CA	90401	Cabo Cantina
Wyomissing	PA	19610	Air Graphics
Portland	OR	97266	Kmi Assoc Inc
Las Vegas	NV	89109	Lobster ME
Louisville	KY	40207	Tatu
Columbus	GA	31909	Rossello David Od
Santa Monica	CA	90401	Britannia Pub
